0.111805, -1.86184, 0.325471, 8.6, 0.9, 3.5, 4, 2.3, 8.5, 5.2, 1.5, 1.8, 6.6, 7.9, 2.5, 
-3.57289, -1.05477, -7.21774, 4.3, 0.6, 1, 8.4, 7.3, 3.4, 5.8, 7.3, 9.8, 3.3, 6.8, 5.6, 
-9.23164, -0.826579, 7.73776, 0.6, 8.9, 4.6, 6.5, 9.9, 1, 5.6, 2.2, 4.1, 7.4, 5.5, 4, 
-5.63403, -0.653278, 7.47651, 0.8, 7.7, 2.3, 9.6, 6.2, 8.4, 3, 8.1, 1.8, 9.3, 5.9, 1.9, 
-0.548686, -0.913118, 0.203004, 6.9, 2.5, 3.7, 7, 3.8, 8.1, 5.4, 7.8, 3.9, 5.3, 6.9, 0.8, 
0.562928, 1.28471, 0.657996, 2, 4.7, 6.3, 2.8, 6.5, 5.5, 6.2, 1.8, 4.2, 6.6, 3.1, 8.1, 
-1.30333, 0.77601, 2.35397, 0.6, 7.9, 6.1, 5, 6.5, 7.5, 6, 5.8, 6.9, 6.2, 4.2, 3, 
-0.923993, 0.234232, 1.37696, 3.2, 6.7, 3.5, 7.6, 6.5, 8.9, 6.9, 6.2, 4.2, 5.6, 7.2, 4.1, 
-0.453486, -0.249126, 0.184, 7.2, 2, 8.6, 1.5, 3.4, 6.5, 3.7, 7.9, 4.8, 8.5, 8, 4.9, 
0.71554, -0.206258, 0.707308, 6.2, 4.6, 1.6, 2.1, 3.1, 6.8, 6.2, 0.6, 6.5, 6.5, 1.6, 2.5, 
