1.04535, 0.045036, -0.110595, -0.00181707, -0.0424617, 0.6936, 7.2, 6.9, 7.3, 6.7, 6, 6.1, 0.9, 7.4, 7.5, 3.3, 5, 7.4
5.5548, -0.275372, -1.44707, -0.0456457, 0.0384208, 0.696515, 3.5, 7.1, 5.3, 3.3, 6.4, 0.5, 0.7, 7.4, 7.5, 5.5, 6.4, 7.5
0.0116501, 0.109897, 0.320988, -0.594387, -0.0980992, -0.726522, 2.3, 5.4, 2.6, 3, 4.8, 6.6, 2.5, 7.5, 4.5, 3.4, 3.7, 7.4
1.92797, -0.968075, 0.500199, 0.659529, 0.131264, -0.727181, 7.9, 0.7, 7.4, 2.4, 6.3, 1.6, 1.3, 7.5, 1.1, 5.2, 7.3, 7.6
1.59778, -0.509238, -0.287929, 0.00686798, -0.133119, -0.691106, 3.5, 6.6, 6.4, 5.7, 7.6, 4.9, 5.8, 2, 7, 7.4, 2.9, 5.5
0.994199, -0.271539, -0.581829, -0.607504, -0.226784, -0.634384, 6.9, 7.5, 3.5, 6.8, 7.3, 6.6, 1.3, 3.6, 3.5, 7.7, 6.7, 7.5
5.04129, -1.16053, -0.587831, -0.00224862, -0.196743, -0.669722, 0.5, 0.8, 1.9, 1.5, 7.7, 5.9, 4.6, 6.7, 1.9, 6.4, 4, 7.2
-4.35071, -1.33329, -2.69361, 0.833991, 0.495911, -1.1069, 0.8, 7.4, 3.4, 3, 7.8, 7.1, 4.4, 2.8, 6.3, 2.8, 4.9, 3.8
-4.75795, -1.61438, 0.0907484, -0.000550284, 0.0318208, -0.686814, 7.8, 1.5, 2.3, 7.1, 4.6, 2.8, 4.9, 2, 7.3, 3, 7.5, 6.3
-2.59878, -0.663839, -0.975525, -0.668196, -0.33507, -0.519149, 7.4, 4.4, 7.7, 4, 7.4, 3.4, 6.9, 7.5, 6.7, 0.6, 0.7, 1.5
-0.156154, 0.763291, -0.546714, -0.0221157, 0.0115471, 0.694671, 3.8, 7, 3.2, 6.5, 6.4, 3.4, 4.9, 7.4, 7.5, 7.5, 7.4, 7.4
-1.47286, 0.36429, -1.18009, -0.600584, -0.0581806, -0.722241, 4.2, 3.3, 1.5, 6.7, 7, 3.6, 3.5, 2.9, 6.8, 2.8, 1.7, 7.5
-0.479652, -0.982818, -0.36681, -0.625439, 0.0814458, 0.703738, 7.3, 2.6, 8, 1.3, 2.4, 5.6, 7.5, 3.8, 6.3, 7.5, 5.5, 6.8
0.42023, 0.69758, -0.0860233, -0.600002, 0.0536882, -0.788374, 7.5, 7.3, 1.1, 4.5, 2.9, 6.7, 2.7, 5.3, 6.8, 5.9, 7, 7.5
-0.242774, -0.457824, -0.559745, -0.576246, -0.0604505, -0.723558, 7.5, 5.4, 5.8, 5.9, 4.7, 1.4, 1.9, 1.7, 1.6, 2.3, 7.5, 7.5
1.16539, -1.61328, 0.150716, 0.885277, 0.0750948, 0.132797, 8.1, 0.9, 2.5, 3.1, 6.8, 7.5, 6.1, 6.5, 7.8, 6.3, 4, 2.1
-0.334519, -0.989317, -0.422215, -0.632471, -0.0519235, -0.764761, 4, 4.9, 7.9, 6.7, 7.9, 1.8, 3.7, 0.5, 1.6, 4.3, 2.6, 5.3
-2.15031, -1.00284, -3.30456, 0.765567, 0.374918, -1.26178, 7, 7.4, 7.5, 3.6, 7.9, 5.7, 5.4, 1, 5.6, 4.8, 7.4, 7.6
-0.254627, -0.913511, 0.0950726, -0.639781, 0.201822, 0.637636, 4.9, 3.6, 7.5, 4.6, 1.6, 3.7, 7.5, 1.9, 0.8, 2.5, 1.1, 2.9
